"trida";"paragraf";"skupina";"oddil";"pododdil";"esif";"obdobi";"paragraf_nazev";"vykaz_date";"vykaz_year";"spending";"source"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2015-12-31";"2015";"361568186,660000026226043701171875000";"vlastní"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2016-12-31";"2016";"389597146,610000014305114746093750000";"vlastní"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2017-12-31";"2017";"380801606,399999976158142089843750000";"vlastní"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2018-12-31";"2018";"459815031,819999992847442626953125000";"vlastní"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2019-12-31";"2019";"446318849,730000019073486328125000000";"vlastní"
"Běžné výdaje";"1036";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Správa v lesním hospodářství";"2020-12-31";"2020";"481916982,389999985694885253906250000";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2015-12-31";"2015";"145222200,449999988079071044921875000";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2016-12-31";"2016";"140496286,890000015497207641601562500";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2017-12-31";"2017";"140496782,330000013113021850585937500";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2018-12-31";"2018";"168937908,519999980926513671875000000";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2019-12-31";"2019";"1243787067,910000085830688476562500000";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Celospolečenské funkce lesů";"2020-12-31";"2020";"7439948302,850000381469726562500000000";"vlastní"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2007-13";"Celospolečenské funkce lesů";"2015-12-31";"2015";"39826673,050000004470348358154296875";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2007-13";"Celospolečenské funkce lesů";"2016-12-31";"2016";"689478,579999999958090484142303467";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2014-20";"Celospolečenské funkce lesů";"2016-12-31";"2016";"0,000000000000000000000000000";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2014-20";"Celospolečenské funkce lesů";"2017-12-31";"2017";"3163346,290000000037252902984619141";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2014-20";"Celospolečenské funkce lesů";"2018-12-31";"2018";"2285061,719999999739229679107666016";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2014-20";"Celospolečenské funkce lesů";"2019-12-31";"2019";"3244066,439999999944120645523071289";"EU"
"Běžné výdaje";"1037";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";TRUE;"2014-20";"Celospolečenské funkce lesů";"2020-12-31";"2020";"0,000000000000000000000000000";"EU"
"Běžné výdaje";"1039";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Ostatní záležitosti lesního hospodářství";"2015-12-31";"2015";"30721008,649999998509883880615234375";"vlastní"
"Běžné výdaje";"1039";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Ostatní záležitosti lesního hospodářství";"2016-12-31";"2016";"28799904,000000000000000000000000000";"vlastní"
"Běžné výdaje";"1039";"Zemědělství, lesní hospodářství a rybářství";"Zemědělství, lesní hospodářství a rybářství";"Lesní hospodářství";FALSE;NA;"Ostatní záležitosti lesního hospodářství";"2017-12-31";"2017";"38936824,689999997615814208984375000";"vlastní"
